t,x,v
0,1,0
0.001,0.999980425184,-0.0389861906916
0.002,0.99992235065,-0.0770032420128
0.003,0.999826734208,-0.114073725415
0.004,0.999694511358,-0.15021968904
0.005,0.99952659581,-0.185462669848
0.006,0.999323879986,-0.219823705466
0.007,0.999087235517,-0.253323345761
0.008,0.998817513722,-0.285981664143
0.009,0.998515546081,-0.31781826861
0.01,0.998182144693,-0.348852312534
0.011,0.997818102727,-0.379102505198
0.012,0.997424194863,-0.408587122089
0.013,0.997001177713,-0.43732401495
0.014,0.99654979025,-0.465330621605
0.015,0.99607075421,-0.49262397555
0.016,0.995564774493,-0.519220715323
0.017,0.995032539556,-0.545137093661
0.018,0.99447472179,-0.570388986439
0.019,0.993891977898,-0.594991901409
0.02,0.993284949254,-0.618960986724
0.021,0.99265426226,-0.642311039281
0.022,0.992000528693,-0.665056512859
0.023,0.991324346045,-0.687211526067
0.024,0.990626297854,-0.708789870122
0.025,0.989906954028,-0.729805016427
0.026,0.989166871159,-0.75027012399
0.027,0.988406592834,-0.770198046663
0.028,0.987626649934,-0.789601340212
0.029,0.986827560933,-0.80849226923
0.03,0.986009832183,-0.826882813882
0.031,0.985173958192,-0.8447846765
0.032,0.984320421906,-0.862209288022
0.033,0.98344969497,-0.87916781428
0.034,0.982562237996,-0.895671162146
0.035,0.981658500814,-0.911729985537
0.036,0.980738922724,-0.927354691271
0.037,0.979803932742,-0.942555444801
0.038,0.978853949836,-0.957342175806
0.039,0.977889383159,-0.971724583655
0.04,0.976910632279,-0.985712142747
0.041,0.975918087399,-0.999314107724
0.042,0.974912129575,-1.01253951857
0.043,0.97389313093,-1.02539720556
0.044,0.972861454858,-1.03789579418
0.045,0.971817456227,-1.05004370981
0.046,0.970761481581,-1.06184918237
0.047,0.969693869325,-1.07332025091
0.048,0.968614949924,-1.08446476797
0.049,0.967525046078,-1.09529040391
0.05,0.966424472908,-1.10580465117
0.051,0.965313538128,-1.11601482837
0.052,0.96419254222,-1.12592808432
0.053,0.963061778601,-1.135551402
0.054,0.961921533784,-1.14489160236
0.055,0.960772087543,-1.15395534811
0.056,0.959613713066,-1.16274914735
0.057,0.958446677107,-1.17127935721
0.058,0.957271240141,-1.17955218728
0.059,0.9560876565,-1.1875737031
0.06,0.954896174527,-1.19534982942
0.061,0.953697036705,-1.20288635356
0.062,0.952490479799,-1.2101889285
0.063,0.951276734987,-1.21726307605
0.064,0.950056027988,-1.22411418989
0.065,0.948828579192,-1.2307475385
0.066,0.947594603781,-1.23716826812
0.067,0.94635431185,-1.24338140552
0.068,0.945107908527,-1.24939186083
0.069,0.943855594087,-1.25520443019
0.07,0.942597564064,-1.26082379844
0.071,0.941334009362,-1.26625454165
0.072,0.940065116363,-1.2715011297
0.073,0.93879106703,-1.27656792868
0.074,0.937512039011,-1.28145920333
0.075,0.93622820574,-1.28617911941
0.076,0.934939736533,-1.29073174594
0.077,0.933646796684,-1.29512105748
0.078,0.93234954756,-1.29935093631
0.079,0.931048146689,-1.30342517457
0.08,0.929742747853,-1.30734747634
0.081,0.928433501173,-1.31112145972
0.082,0.927120553193,-1.31475065875
0.083,0.925804046964,-1.31823852543
0.084,0.924484122127,-1.32158843158
0.085,0.923160914988,-1.32480367073
0.086,0.9218345586,-1.32788745989
0.087,0.920505182836,-1.33084294137
0.088,0.919172914461,-1.33367318448
0.089,0.917837877211,-1.33638118724
0.09,0.916500191856,-1.33896987802
0.091,0.915159976271,-1.34144211718
0.092,0.913817345505,-1.3438006986
0.093,0.912472411848,-1.34604835127
0.094,0.911125284889,-1.34818774075
0.095,0.909776071585,-1.35022147069
0.096,0.908424876318,-1.35215208421
0.097,0.907071800959,-1.35398206535
