time,energy,energy_error,angle,angular_velocity
0.234026,2.87035,-1.90958e-14,0.601773,-1.5158
0.236139,2.87035,-1.90958e-14,0.598559,-1.52749
0.238243,2.87035,-1.9984e-14,0.595332,-1.53908
0.240341,2.87035,-1.90958e-14,0.592091,-1.55058
0.242431,2.87035,-1.9984e-14,0.588838,-1.56199
0.244514,2.87035,-1.90958e-14,0.585572,-1.5733
0.246591,2.87035,-1.90958e-14,0.582294,-1.58451
0.24866,2.87035,-1.86517e-14,0.579004,-1.59564
0.250722,2.87035,-1.82077e-14,0.575702,-1.60667
0.252777,2.87035,-1.90958e-14,0.572388,-1.61761
0.254826,2.87035,-1.9984e-14,0.569063,-1.62846
0.256868,2.87035,-2.04281e-14,0.565727,-1.63921
0.258904,2.87035,-1.9984e-14,0.562379,-1.64988
0.260933,2.87035,-1.9984e-14,0.559021,-1.66045
0.262956,2.87035,-1.9984e-14,0.555652,-1.67093
0.264972,2.87035,-1.9984e-14,0.552272,-1.68133
0.266982,2.87035,-2.08722e-14,0.548882,-1.69163
0.268986,2.87035,-2.08722e-14,0.545482,-1.70185
0.270983,2.87035,-2.08722e-14,0.542073,-1.71198
0.272975,2.87035,-1.9984e-14,0.538653,-1.72202
0.274961,2.87035,-2.08722e-14,0.535224,-1.73197
0.27694,2.87035,-2.08722e-14,0.531785,-1.74184
0.278914,2.87035,-2.04281e-14,0.528337,-1.75162
0.280882,2.87035,-1.9984e-14,0.52488,-1.76131
0.282845,2.87035,-1.9984e-14,0.521415,-1.77092
0.284801,2.87035,-1.9984e-14,0.51794,-1.78045
0.286752,2.87035,-1.9984e-14,0.514457,-1.78988
0.288698,2.87035,-1.9984e-14,0.510965,-1.79924
0.290638,2.87035,-1.9984e-14,0.507465,-1.80851
0.292573,2.87035,-2.08722e-14,0.503957,-1.81769
0.294503,2.87035,-2.04281e-14,0.500441,-1.82679
0.296427,2.87035,-1.9984e-14,0.496917,-1.83581
0.298346,2.87035,-1.95399e-14,0.493386,-1.84475
0.30026,2.87035,-1.9984e-14,0.489846,-1.8536
0.302169,2.87035,-1.9984e-14,0.486299,-1.86238
0.304073,2.87035,-2.08722e-14,0.482745,-1.87107
0.305972,2.87035,-2.08722e-14,0.479184,-1.87968
0.307866,2.87035,-2.04281e-14,0.475615,-1.88821
0.309755,2.87035,-2.17604e-14,0.47204,-1.89666
0.31164,2.87035,-2.26485e-14,0.468458,-1.90502
0.31352,2.87035,-2.17604e-14,0.464869,-1.91331
0.315395,2.87035,-2.17604e-14,0.461273,-1.92152
0.317266,2.87035,-2.35367e-14,0.457671,-1.92965
0.319132,2.87035,-2.35367e-14,0.454062,-1.9377
0.320994,2.87035,-2.26485e-14,0.450448,-1.94568
0.322851,2.87035,-2.30926e-14,0.446827,-1.95357
0.324704,2.87035,-2.26485e-14,0.443199,-1.96139
0.326553,2.87035,-2.17604e-14,0.439566,-1.96913
0.328397,2.87035,-2.30926e-14,0.435928,-1.97679
0.330237,2.87035,-2.35367e-14,0.432283,-1.98437
0.332073,2.87035,-2.35367e-14,0.428633,-1.99188
0.333905,2.87035,-2.35367e-14,0.424977,-1.99931
0.335733,2.87035,-2.39808e-14,0.421315,-2.00667
0.337557,2.87035,-2.44249e-14,0.417648,-2.01395
0.339377,2.87035,-2.39808e-14,0.413976,-2.02115
0.341193,2.87035,-2.53131e-14,0.410299,-2.02828
0.343006,2.87035,-2.44249e-14,0.406617,-2.03534
0.344814,2.87035,-2.53131e-14,0.402929,-2.04232
0.346619,2.87035,-2.62013e-14,0.399237,-2.04922
0.34842,2.87035,-2.66454e-14,0.39554,-2.05606
0.350218,2.87035,-2.70894e-14,0.391838,-2.06281
0.352012,2.87035,-2.84217e-14,0.388131,-2.0695
0.353802,2.87035,-2.88658e-14,0.38442,-2.07611
0.355589,2.87035,-2.9754e-14,0.380704,-2.08265
0.357373,2.87035,-2.93099e-14,0.376984,-2.08911
0.359153,2.87035,-2.88658e-14,0.373259,-2.0955
0.36093,2.87035,-2.84217e-14,0.36953,-2.10182
0.362703,2.87035,-2.75335e-14,0.365797,-2.10807
0.364474,2.87035,-2.70894e-14,0.36206,-2.11424
0.366241,2.87035,-2.70894e-14,0.358318,-2.12035
0.368005,2.87035,-2.70894e-14,0.354573,-2.12638
0.369765,2.87035,-2.70894e-14,0.350823,-2.13234
0.371523,2.87035,-2.70894e-14,0.34707,-2.13823
0.373278,2.87035,-2.75335e-14,0.343313,-2.14405
0.37503,2.87035,-2.70894e-14,0.339552,-2.1498
