t,x_num,v_num,x_exact,energy_num
0,1,0,1,19.7392088022
0.001,0.999980260856,-0.0394781578468,0.999980260856,19.7392088022
0.002,0.999921044204,-0.0789547571635,0.999921044204,19.7392088022
0.003,0.999822352381,-0.118428239482,0.999822352381,19.7392088022
0.004,0.999684189283,-0.157897046456,0.999684189283,19.7392088022
0.005,0.999506560366,-0.197359619924,0.999506560366,19.7392088022
0.006,0.999289472641,-0.236814401974,0.999289472641,19.7392088022
0.007,0.999032934678,-0.276259834996,0.999032934678,19.7392088022
0.008,0.998736956606,-0.315694361752,0.998736956606,19.7392088022
0.009,0.998401550109,-0.355116425436,0.998401550109,19.7392088022
0.01,0.998026728428,-0.394524469732,0.998026728428,19.7392088022
0.011,0.997612506361,-0.433916938877,0.997612506361,19.7392088022
0.012,0.997158900261,-0.473292277724,0.997158900261,19.7392088022
0.013,0.996665928034,-0.512648931802,0.996665928034,19.7392088022
0.014,0.996133609143,-0.551985347379,0.996133609143,19.7392088022
0.015,0.995561964603,-0.591299971519,0.995561964603,19.7392088022
0.016,0.994951016981,-0.630591252148,0.994951016981,19.7392088022
0.017,0.994300790397,-0.669857638115,0.994300790397,19.7392088022
0.018,0.99361131052,-0.709097579249,0.99361131052,19.7392088022
0.019,0.99288260457,-0.748309526425,0.99288260457,19.7392088022
0.02,0.992114701315,-0.787491931622,0.992114701314,19.7392088022
0.021,0.99130763107,-0.826643247986,0.99130763107,19.7392088022
0.022,0.990461425697,-0.865761929891,0.990461425697,19.7392088022
0.023,0.989576118603,-0.904846432996,0.989576118603,19.7392088022
0.024,0.988651744738,-0.943895214314,0.988651744738,19.7392088022
0.025,0.987688340595,-0.982906732265,0.987688340595,19.7392088022
0.026,0.986685944208,-1.02187944674,0.986685944208,19.7392088022
0.027,0.985644595149,-1.06081181917,0.985644595149,19.7392088022
0.028,0.98456433453,-1.09970231256,0.984564334529,19.7392088022
0.029,0.983445204996,-1.13854939158,0.983445204995,19.7392088022
0.03,0.982287250729,-1.17735152263,0.982287250729,19.7392088022
0.031,0.981090517444,-1.21610717385,0.981090517443,19.7392088022
